Product Name,Pack size,CFA region,CFA,Jan -2026 (in kL)
SKU_001,20 X 900 ML,East,Kolkata CFA,17.98488
SKU_001,20 X 900 ML,East,Guwahati CFA,3.8592
SKU_001,20 X 900 ML,East,Kanpur CFA,40.176
SKU_001,20 X 900 ML,East,Jamshedpur CFA,19.49256
SKU_001,20 X 900 ML,North,Rajpura CFA,17.07264
SKU_001,20 X 900 ML,North,Haryana CFA,89.8776
SKU_001,20 X 900 ML,South,Bangalore CFA,14.721119999999999
SKU_001,20 X 900 ML,South,Hyderabad CFA,35.84592
SKU_001,20 X 900 ML,West,Bhiwandi CFA,55.44
SKU_001,20 X 900 ML,West,Ahmedabad CFA,6.7536000000000005
SKU_002,20 X 1 LT,East,Kolkata CFA,12.029600000000002
SKU_002,20 X 1 LT,East,Guwahati CFA,6.800000000000001
SKU_002,20 X 1 LT,East,Kanpur CFA,23.048000000000002
SKU_002,20 X 1 LT,East,Jamshedpur CFA,7.724800000000001
SKU_002,20 X 1 LT,North,Rajpura CFA,7.904000000000001
SKU_002,20 X 1 LT,North,Haryana CFA,17.6784
SKU_002,20 X 1 LT,South,Bangalore CFA,19.7528
SKU_002,20 X 1 LT,South,Hyderabad CFA,6.443200000000001
SKU_002,20 X 1 LT,West,Bhiwandi CFA,14.719999999999999
SKU_002,20 X 1 LT,West,Ahmedabad CFA,1.4720000000000002
SKU_003,20 X 900 ML,East,Kolkata CFA,2.8476
SKU_003,20 X 900 ML,East,Guwahati CFA,1.1376
SKU_003,20 X 900 ML,East,Kanpur CFA,17.575200000000002
SKU_003,20 X 900 ML,East,Jamshedpur CFA,2.90808
SKU_003,20 X 900 ML,North,Rajpura CFA,8.7264
SKU_003,20 X 900 ML,North,Haryana CFA,22.198320000000002
SKU_003,20 X 900 ML,South,Bangalore CFA,3.5992800000000003
SKU_003,20 X 900 ML,South,Hyderabad CFA,9.384480000000002
SKU_003,20 X 900 ML,West,Bhiwandi CFA,0
SKU_003,20 X 900 ML,West,Ahmedabad CFA,4.9968
SKU_004,12 X 800 ML,East,Kolkata CFA,8.667136000000001
SKU_004,12 X 800 ML,East,Guwahati CFA,7.719168
SKU_004,12 X 800 ML,East,Kanpur CFA,15.911584000000003
SKU_004,12 X 800 ML,East,Jamshedpur CFA,3.7197440000000004
SKU_004,12 X 800 ML,North,Rajpura CFA,3.964832
SKU_004,12 X 800 ML,North,Haryana CFA,11.791712000000002
SKU_004,12 X 800 ML,South,Bangalore CFA,13.1039264
SKU_004,12 X 800 ML,South,Hyderabad CFA,6.083776
SKU_004,12 X 800 ML,West,Bhiwandi CFA,18.37056
SKU_004,12 X 800 ML,West,Ahmedabad CFA,6.711936000000001
SKU_005,1 X 7.5 LT,East,Kolkata CFA,1.2000000000000002
SKU_005,1 X 7.5 LT,East,Guwahati CFA,1.17
SKU_005,1 X 7.5 LT,East,Kanpur CFA,26.904000000000003
SKU_005,1 X 7.5 LT,East,Jamshedpur CFA,1.368
SKU_005,1 X 7.5 LT,North,Rajpura CFA,1.974
SKU_005,1 X 7.5 LT,North,Haryana CFA,7.050000000000001
SKU_005,1 X 7.5 LT,South,Bangalore CFA,0.252
SKU_005,1 X 7.5 LT,South,Hyderabad CFA,1.218
